Purchase Order,Invoice No,Vendor,Supplier,Product,Variant,Product Type,SKU,Barcode,Shopify ID,Supplier Code,ASIN,Vendor Code,Text 2,Text 3,Status,PO Date,Confirmed Date,Expected Date,Ship Date,Cancel Date,Received at,Retail Price,Stock,Ordered,Quantity,Cost,Total Cost,Cost (Supplier Currency),Total Cost (Supplier Currency),Total Retail,Shipping Company Name,Shipping Address 1,Shipping Address 2,Shipping City,Shipping State / Province,Shipping Zip / Postcode,Shipping Country
21899,,Al-Malaika for Manufacturing Textiles S.A.E.,,MOUDIRA SUMMER DRESSING GOWN,S/M / Gray,,SM-RB-LN-09-S-M,,5.14372E+13,,,,,,not delivered,18/05/2025,18/05/2025,15/06/2025,,,,"140,00",2,1,1,"38,00","38,00",,,"140,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21900,,Al-Malaika for Manufacturing Textiles S.A.E.,,MOUDIRA PALM CUSHION COVER,Rectanglar (41cm x 30cm),Cushion,LXPL-BS,,4.45925E+13,,,,,,not delivered,20/05/2025,21/05/2025,18/06/2025,,,,"60,00",3,9,6,"14,00","84,00",,,"360,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21900,,Al-Malaika for Manufacturing Textiles S.A.E.,,TERRYCLOTH BATH MAT,beige,bath mat,BTHMAT-12,7E+12,1.22746E+13,,,,,,not delivered,20/05/2025,21/05/2025,18/06/2025,,,,"23,00",0,4,4,"5,00","20,00",,,"92,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21900,,Al-Malaika for Manufacturing Textiles S.A.E.,,TERRYCLOTH BATH MAT,teal,bath mat,BTHMAT-54,7E+12,1.22746E+13,,,,,,not delivered,20/05/2025,21/05/2025,18/06/2025,,,,"23,00",0,1,1,"5,00","5,00",,,"23,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21900,,Al-Malaika for Manufacturing Textiles S.A.E.,,TERRYCLOTH BATH MAT,white,bath mat,BTHMAT-00,7E+12,1.31657E+13,,,,,,not delivered,20/05/2025,21/05/2025,18/06/2025,,,,"23,00",3,2,2,"5,00","10,00",,,"46,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21902,,Al-Malaika for Manufacturing Textiles S.A.E.,,Fitted Sheets (All Sizes),"US Twin S (36"" x 75"" x 16"")",Bedding,USTNS-FITS-00,,5.14657E+13,,,,,,not delivered,29/05/2025,29/05/2025,26/06/2025,,,,"128,00",-4,4,4,"30,00","120,00",,,"512,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21904,,Al-Malaika for Manufacturing Textiles S.A.E.,,DELTA TABLECLOTH,Default Title,Tablecloth,DLTA-TBC,,4.61229E+13,,,,,,not delivered,06/06/2025,14/06/2025,12/07/2025,,,,"587,00",0,2,2,"175,00","350,00",,,"1.174,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21904,,Al-Malaika for Manufacturing Textiles S.A.E.,,SULTANA TABLECLOTH,amber,Tablecloth,SLT-TBC-05,7E+12,4.37406E+13,,,,,,not delivered,06/06/2025,14/06/2025,12/07/2025,,,,"550,00",0,1,1,"205,00","205,00",,,"550,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21904,,Al-Malaika for Manufacturing Textiles S.A.E.,,SULTANA TABLECLOTH,terracotta,Tablecloth,SLT-TBC-73,7E+12,4.37406E+13,,,,,,not delivered,06/06/2025,14/06/2025,12/07/2025,,,,"550,00",0,1,1,"205,00","205,00",,,"550,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21904,,Al-Malaika for Manufacturing Textiles S.A.E.,,SILSILA ROUND PLACEMAT,ecru,Placemats,SLS-RDR-PLAC-33,7E+12,4.22853E+13,,,,,,not delivered,06/06/2025,14/06/2025,12/07/2025,,,,"39,00",0,12,12,"6,00","72,00",,,"468,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
